,Description,Price,Sq_feet
268,3 BHK Residential Apartment for rent in Puppalaguda,36000,1550
269,3 BHK Residential Apartment for rent in Manikonda,46000,1700
270,3 BHK Residential Apartment for rent in Kondapur,29500,1600
271,3 BHK Residential Apartment for rent in Hafeezpet,36000,1500
272,1 BHK Residential Apartment for rent in Kondapur,9200,250
273,2 BHK Residential Apartment for rent in Bairagiguda,20000,1200
274,2 BHK Residential Apartment for rent in Madhapur,25000,1100
275,2 BHK Residential Apartment for rent in Qutub Shahi Tombs,18000,1110
276,1 BHK Residential Apartment for rent in Hafeezpet,17000,1500
277,3 BHK Residential Apartment for rent in Manikonda,31300,1250
278,2 BHK Residential Apartment for rent in Kondapur,24000,1250
279,2 BHK Residential Apartment for rent in Serlingampally,23500,900
280,3 BHK Residential Apartment for rent in Manikonda,26500,1600
281,3 BHK Residential Apartment for rent in Financial District,32000,1200
282,2 BHK Residential Apartment for rent in Puppalguda,18000,1000
283,2 BHK Residential Apartment for rent in Rajendra Nagar,16000,1200
284,2 BHK Residential Apartment for rent in Rajendra Nagar,11000,1200
285,2 BHK Residential Apartment for rent in Gachibowli,22000,1275
286,2 BHK Residential Apartment for rent in Kondapur,18000,1250
287,2 BHK Residential Apartment for rent in Kondapur,18000,1250
288,2 BHK Residential Apartment for rent in Kondapur,18000,1250
289,4 Bedroom Independent House for rent in Gandipet,70000,3800
290,2 BHK Residential Apartment for rent in Kokapet,22000,1270
291,3 Bedroom Independent House for rent in Gopanpally,25000,1800
292,3 BHK Residential Apartment for rent in Gachibowli,30000,1300
293,2 BHK Residential Apartment for rent in Kondapur,20400,900
294,1 BHK Residential Apartment for rent in Hafeezpet,11000,1100
295,2 BHK Residential Apartment for rent in Financial District,28500,800
296,1 BHK Residential Apartment for rent in Kondapur,10000,500
297,2 BHK Residential Apartment for rent in Manikonda,26000,1600
298,2 BHK Residential Apartment for rent in Manikonda,21900,1500
299,3 BHK Residential Apartment for rent in Narsingi,20000,1975
300,3 BHK Residential Apartment for rent in Shaikpet,18000,16000
301,3 BHK Residential Apartment for rent in Gachibowli,27000,1740
302,2 BHK Residential Apartment for rent in Kondapur,25000,1200
303,3 BHK Residential Apartment for rent in Manikonda,40000,1600
304,3 BHK Residential Apartment for rent in Manikonda,27000,1840
305,14 Bedroom Independent House for rent in Sangeet Nagar,2.05,2871
306,3 BHK Residential Apartment for rent in Puppalaguda,15000,1650
307,2 BHK Residential Apartment for rent in Jubilee Hills,30000,1200
308,1 BHK Independent Builder Floor for rent in Ramanthapur,7000,1800
309,2 BHK Independent Builder Floor for rent in Arjun Nagar,10000,1200
