,Description,Price,Sq_feet
3660,3 BHK Residential Apartment for rent in Kokapet,22000,1800
3661,1 Bedroom Independent House for rent in Habsiguda,18500,1000
3662,2 BHK Residential Apartment for rent in Qutub Shahi Tombs,18000,1250
3663,3 BHK Residential Apartment for rent in Qutub Shahi Tombs,22000,1450
3664,1 BHK Residential Apartment for rent in Kantha Reddy Nagar,10000,750
3665,1 BHK Residential Apartment for rent in Kantha Reddy Nagar,10000,750
3666,1 BHK Residential Apartment for rent in Kantha Reddy Nagar,10000,750
3667,3 BHK Residential Apartment for rent in Upparpally,13000,1350
3668,3 BHK Residential Apartment for rent in Indra Reddy Alwyn Colony,20000,1600
3669,1 BHK Residential Apartment for rent in Kothapet,8000,610
3670,2 BHK Independent Builder Floor for rent in Mehdipatnam Ring Road,13000,900
3671,2 Bedroom Independent House for rent in Medipally,10000,1350
3672,3 BHK Residential Apartment for rent in Moti Nagar,22000,1460
3673,3 BHK Independent Builder Floor for rent in OU Colony,20000,1620
3674,2 BHK Residential Apartment for rent in Sivaji Nagar,14000,1085
3675,2 BHK Residential Apartment for rent in Chandanagar,15000,1100
3676,2 BHK Independent Builder Floor for rent in Medipally,9000,1000
3677,3 BHK Residential Apartment for rent in Miyapur,24000,1500
3678,1 BHK Independent Builder Floor for rent in Shivaji Nagar Colony,9500,600
3679,"2 BHK Residential Apartment for rent in Near volvo service centre, Miyapur Bachupally Road",12500,1150
3680,1 Bedroom Independent House for rent in Nallakunta,6500,600
3681,1 Bedroom Independent House for rent in New Nallakunta,6600,600
3682,2 BHK Residential Apartment for rent in Gachibowli,20000,1450
3683,2 BHK Independent Builder Floor for rent in Uppal,13000,800
3684,1 Bedroom Independent House for rent in Uppal,9000,1200
3685,2 BHK Independent Builder Floor for rent in gayathri hills Badangpet,8000,1000
3686,2 BHK Residential Apartment for rent in Pragathi Nagar,14000,1220
3687,2 BHK Residential Apartment for rent in Miyapur,14000,1150
3688,2 Bedroom Independent House for rent in Erramanzil Colony,15000,1500
3689,2 BHK Residential Apartment for rent in Old Bowenpally,18000,1300
3690,3 BHK Residential Apartment for rent in Narsingi,25000,1235
3691,3 BHK Residential Apartment for rent in Narsingi,25000,1235
3692,3 BHK Residential Apartment for rent in Road no 3,35000,2270
3693,3 BHK Residential Apartment for rent in Bandlaguda,30000,1780
3694,4 BHK Residential Apartment for rent in Vittal Rao Nagar,75000,2595
3695,3 BHK Residential Apartment for rent in Tellapur,13000,1400
3696,1 Bedroom Independent House for rent in Medipally,6000,800
3697,1 Bedroom Independent House for rent in Ameerpet,10000,300
3698,"2 BHK Residential Apartment for rent in Bhanu Township, Hafeezpet Road, Miyapur",17000,1100
3699,2 BHK Residential Apartment for rent in Puppalaguda,22000,1405
3700,1 Bedroom Independent House for rent in New Mirjalguda,8500,810
3701,1 Bedroom Independent House for rent in New Mirjalguda,8000,828
3702,1 Bedroom Independent House for rent in New Mirjalguda,8500,810
3703,2 BHK Residential Apartment for rent in Puppalaguda,13000,1270
3704,2 Bedroom Independent House for rent in Kismathpur,11500,1200
3705,2 BHK Independent Builder Floor for rent in Vanasthalipuram,7000,700
3706,1 Bedroom Independent House for rent in Venkatapuram,5500,700
3707,2 BHK Independent Builder Floor for rent in P Janardhan Reddy Nagar,18000,800
3708,1 Bedroom Independent House for rent in Sudarshan Nagar Colony,10000,1980
3709,1 BHK Independent Builder Floor for rent in huda colony,7000,600
3710,2 BHK Residential Apartment for rent in Vijayapuri Colony,17000,1282
3711,1 BHK Residential Apartment for rent in Sri Ramnagar,11000,650
3712,2 BHK Residential Apartment for rent in Kondapur,15000,1000
3713,1 BHK Independent Builder Floor for rent in HUDA Colony,12000,800
3714,2 BHK Residential Apartment for rent in Hydershakote,13000,1183
3715,3 BHK Residential Apartment for rent in KPR Colony,25000,1840
3716,2 BHK Independent Builder Floor for rent in Shad nagar,7600,133
3717,2 BHK Independent Builder Floor for rent in Shad nagar,7600,133
3718,3 BHK Residential Apartment for rent in Secretariat Colony,15500,1350
3719,2 Bedroom Independent House for rent in Karthikeyanagar,10000,1200
3720,2 BHK Independent Builder Floor for rent in Aminpur,10000,1350
3721,1 Bedroom Independent House for rent in Brindavan Colony,9000,500
3722,"2 BHK Residential Apartment for rent in 18 HUDA LAYOUT , NEAR ADITYA EDEN PARK or SADHANA INFINITI SCHOOL",18000,1000
3723,3 Bedroom Independent House for rent in Ram nagar,20000,1200
3724,2 BHK Independent Builder Floor for rent in Himayat Nagar,26000,1250
3725,"3 BHK Residential Apartment for rent in Tiwari Nagar, Madinaguda",20000,1430
3726,2 BHK Residential Apartment for rent in Somajiguda,25000,1035
3727,2 BHK Independent Builder Floor for rent in Adarsh Nagar,8000,6750
3728,3 Bedroom Independent House for rent in Nagole,25000,2400
3729,2 BHK Residential Apartment for rent in Pragathi Nagar,10000,1000
3730,2 BHK Residential Apartment for rent in Pragathi Nagar,10000,900
3731,2 BHK Independent Builder Floor for rent in Pragathi Nagar,9500,800
3732,(1 RK) Studio Apartment for rent in Uma Nagar,16000,600
3733,(1 RK) Studio Apartment for rent in Srinagar Colony,16500,600
3734,2 Bedroom Independent House for rent in 7th Phase KPHB,13000,176
3735,"2 BHK Residential Apartment for rent in parkview residency, road no 7, telecom nagar, gachibowli",18000,1000
3736,1 BHK Independent Builder Floor for rent in New Mirjalguda,13000,1400
3737,1 Bedroom Independent House for rent in Cherukupalli Colony,4000,1134
3738,"2 Bedroom Independent House for rent in Balaji Colony, Mohan Nagar,Kothapet",12000,1200
3739,1 Bedroom Independent House for rent in TurkaYamjal,5000,1800
3740,3 BHK Residential Apartment for rent in Madhapur,25000,1350
3741,1 Bedroom Independent House for rent in Saroor nagar,5000,450
3742,1 Bedroom Independent House for rent in Teachers Colony,5000,350
3743,1 Bedroom Independent House for rent in Teachers Colony,5000,350
3744,2 BHK Residential Apartment for rent in Aminpur,12000,1085
3745,2 BHK Independent Builder Floor for rent in Secunderabad Railway Station,8000,200
3746,3 BHK Independent Builder Floor for rent in Gunrock Enclave,25000,1400
3747,1 BHK Residential Apartment for rent in Aditya Nagar,13000,900
3748,2 BHK Residential Apartment for rent in Kukatpally,18000,980
3749,1 BHK Independent Builder Floor for rent in Chengicherla,6500,9000
3750,2 BHK Independent Builder Floor for rent in Nizampet,14000,1123
3751,(1 RK) Studio Apartment for rent in Kothapet,6000,220
3752,1 BHK Residential Apartment for rent in Marthanda Nagar,9500,675
3753,3 BHK Independent Builder Floor for rent in Srinivas Nagar,19500,1470
3754,3 BHK Residential Apartment for rent in Kondapur,33000,1700
3755,2 BHK Residential Apartment for rent in Begumpet,17000,880
3756,3 BHK Residential Apartment for rent in Pragathi Nagar,15000,1350
3757,2 BHK Independent Builder Floor for rent in Rocktown Colony,9000,1400
3758,2 Bedroom Independent House for rent in Uppal,9500,850
3759,2 BHK Residential Apartment for rent in Golf link swarnandra phase 2 Yapral Secunderabad 87,20000,1375
3760,3 BHK Residential Apartment for rent in Vengalrao Nagar,23000,1800
3761,1 BHK Independent Builder Floor for rent in Madhapur,10500,550
3762,1 BHK Independent Builder Floor for rent in Allwyn Colony,9000,400
3763,2 Bedroom Independent House for rent in Puppalaguda,15000,1800
3764,3 BHK Residential Apartment for rent in Ameerpet,36000,2000
3765,1 BHK Independent Builder Floor for rent in YousufGuda,6500,600
3766,2 BHK Residential Apartment for rent in Narsingi,18000,1200
3767,1 BHK Independent Builder Floor for rent in Dilsukh Nagar,12000,500
3768,2 BHK Independent Builder Floor for rent in Miyapur,14000,1175
3769,2 BHK Independent Builder Floor for rent in Miyapur,14000,1175
3770,1 Bedroom Independent House for rent in Malkajgiri,6000,750
3771,2 Bedroom Independent House for rent in Miyapur,12000,1800
3772,5 Bedroom Independent House for rent in Kompally,60000,3600
3773,2 BHK Residential Apartment for rent in Opp pushpak,16000,1200
3774,2 BHK Independent Builder Floor for rent in Nizampet,12500,1060
3775,2 BHK Residential Apartment for rent in Veera Reddy Colony,14000,1300
3776,1 BHK Residential Apartment for rent in Anjaiah Nagar,12500,600
3777,1 Bedroom Independent House for rent in NGO Colony,7000,600
3778,3 BHK Residential Apartment for rent in Ameerpet,31000,1640
3779,1 Bedroom Independent House for rent in Malkajgiri,6200,700
3780,2 BHK Independent Builder Floor for rent in Nacharam,18000,1700
3781,2 BHK Residential Apartment for rent in Miyapur,14000,1150
3782,2 BHK Independent Builder Floor for rent in Sun City,15000,1051
3783,"3 BHK Residential Apartment for rent in PJR Nagar, Gachibowli",25000,1700
3784,Residential Apartment for rent in Pragathi Nagar,12000,1000
3785,3 BHK Residential Apartment for rent in Huda Complex,16000,1395
3786,2 BHK Independent Builder Floor for rent in Anjaiah Nagar,20000,1350
3787,3 BHK Residential Apartment for rent in Nallagandla,25000,2028
3788,1 BHK Residential Apartment for rent in Anjaiah Nagar,12000,540
3789,2 BHK Residential Apartment for rent in Pragathi Nagar,11500,1045
3790,2 BHK Independent Builder Floor for rent in Rajendra Nagar,16000,800
3791,2 BHK Residential Apartment for rent in Devi Bagh,26000,1200
3792,2 BHK Independent Builder Floor for rent in Gachibowli,15000,1600
3793,2 BHK Independent Builder Floor for rent in Madinaguda,13000,1100
3794,2 BHK Independent Builder Floor for rent in Afsar Khan Colony,on,1400
3795,2 BHK Independent Builder Floor for rent in Afsar Khan Colony,on,1400
3796,2 BHK Independent Builder Floor for rent in Afsar Khan Colony,on,1400
3797,3 BHK Residential Apartment for rent in Manikonda,15000,1380
3798,2 BHK Residential Apartment for rent in LB Nagar,13000,1500
3799,3 BHK Independent Builder Floor for rent in Shaikpet,20000,1600
3800,2 Bedroom Independent House for rent in Mamatha Nagar Colony,15000,1260
3801,2 BHK Residential Apartment for rent in Vishnupuri Colony,12500,910
3802,2 BHK Residential Apartment for rent in Raghavendra Colony,17000,1080
3803,2 BHK Residential Apartment for rent in Nizampet,12500,1040
3804,2 Bedroom Independent House for rent in Beeramguda,11000,1550
3805,3 BHK Residential Apartment for rent in KPHB,12000,1000
3806,3 BHK Residential Apartment for rent in Near water tank,13000,1600
3807,1 Bedroom Independent House for rent in Malkajgiri,10500,430
3808,2 Bedroom Independent House for rent in Boduppal,9000,950
3809,2 BHK Residential Apartment for rent in Pragathi Nagar,16000,1200
3810,2 BHK Residential Apartment for rent in Malkajgiri,13500,870
3811,2 BHK Residential Apartment for rent in Vasanthapuri Colony,13000,860
3812,2 BHK Independent Builder Floor for rent in Chanda Nagar,15000,1200
3813,3 BHK Independent Builder Floor for rent in Ram Nagar,20000,1200
3814,3 BHK Independent Builder Floor for rent in east anand bhagh,12000,1400
3815,2 BHK Independent Builder Floor for rent in Sri Laxmi Nagar colony,12000,1350
3816,3 BHK Residential Apartment for rent in Kondapur,39000,1710
3817,3 BHK Residential Apartment for rent in Raghavendra Colony,22000,1615
3818,2 Bedroom Independent House for rent in Parimala Nagar,15000,2700
3819,2 BHK Residential Apartment for rent in Telecom Nagar,20000,1100
3820,2 BHK Residential Apartment for rent in Raghavendra Colony,26000,1280
3821,2 BHK Residential Apartment for rent in Raghavendra Colony,26000,1280
3822,2 BHK Residential Apartment for rent in Erragadda,12000,1100
3823,2 BHK Independent Builder Floor for rent in Jillelguda,12000,1800
3824,1 Bedroom Independent House for rent in Patigadda,8000,600
3825,1 Bedroom Independent House for rent in Begumpet,10000,800
3826,1 Bedroom Independent House for rent in Patigadda,10000,800
3827,1 Bedroom Independent House for rent in Begumpet,8000,600
3828,2 Bedroom Independent House for rent in Chandanagar,16000,1200
3829,2 BHK Residential Apartment for rent in Serlingampally,14000,1200
3830,2 BHK Residential Apartment for rent in Prakash Nagar,24000,1100
3831,2 BHK Independent Builder Floor for rent in Gachibowli,20000,1250
3832,3 BHK Independent Builder Floor for rent in Tolichowki,16000,1401
3833,2 BHK Residential Apartment for rent in TurkaYamjal,4000,650
3834,2 BHK Independent Builder Floor for rent in Tarnaka,12500,1150
3835,2 BHK Residential Apartment for rent in Kutbi Guda,20000,905
3836,3 BHK Independent Builder Floor for rent in Vanasthalipuram,13500,1180
3837,2 BHK Independent Builder Floor for rent in Vanasthalipuram,10500,976
3838,2 BHK Independent Builder Floor for rent in Vanasthalipuram,10500,976
3839,1 Bedroom Independent House for rent in Kukatpally Jagadgirigutta,5500,350
3840,2 Bedroom Independent House for rent in Nagaram,8500,2100
3841,2 Bedroom Independent House for rent in Gajulramaram,9000,1400
3842,2 BHK Independent Builder Floor for rent in Machabolaram,15000,1570
3843,2 BHK Residential Apartment for rent in Prakash Nagar,22500,1100
3844,2 Bedroom Independent House for rent in Kakateeya Nagar,11000,1000
3845,2 BHK Residential Apartment for rent in Habsiguda,20000,1400
3846,1 BHK Residential Apartment for rent in ECIL,5500,476
3847,1 BHK Residential Apartment for rent in ECIL,5500,476
3848,3 BHK Residential Apartment for rent in Kokapet,20000,2069
3849,2 BHK Residential Apartment for rent in Banjarahills rd no 12,32000,1200
3850,2 BHK Residential Apartment for rent in Chinthal,7500,470
3851,3 BHK Residential Apartment for rent in Puppalaguda,28000,1565
3852,2 Bedroom Independent House for rent in Mustafa Nagar,11000,1400
3853,2 BHK Residential Apartment for rent in Appa Junction,24500,1208
3854,2 BHK Residential Apartment for rent in KTR COLONY,12500,1040
3855,3 BHK Residential Apartment for rent in Ameerpet,30000,18298
3856,1 BHK Independent Builder Floor for rent in Gajulramaram,7500,750
3857,2 BHK Residential Apartment for rent in Beeramguda,9500,1150
3858,2 Bedroom Independent House for rent in Gandhamguda,9000,1000
3859,1 Bedroom Independent House for rent in Sanath Nagar,9000,405
3860,"2 BHK Residential Apartment for rent in Near World one School, Kondhapur",22000,1150
3861,3 BHK Residential Apartment for rent in Huda Layout,20000,1450
3862,2 BHK Residential Apartment for rent in Alkapuri,16000,1150
3863,1 Bedroom Independent House for rent in Near Madhapur Police Station,10000,600
3864,3 BHK Residential Apartment for rent in East Marredpally,26000,1600
3865,2 BHK Residential Apartment for rent in Nallagandla,16500,1102
3866,1 Bedroom Independent House for rent in Sairam Nagar,6500,450
3867,3 BHK Residential Apartment for rent in Kondapur,30000,1860
3868,2 BHK Residential Apartment for rent in Rajshri Residency,17000,1050
3869,2 BHK Residential Apartment for rent in Nizampet,13000,1100
3870,1 BHK Independent Builder Floor for rent in Sudarshan Nagar Colony,9500,600
3871,2 BHK Independent Builder Floor for rent in Phase-1 Vanasthalipuram,9000,1200
3872,3 Bedroom Independent House for rent in Mallampet,25000,2580
3873,3 Bedroom Independent House for rent in Mallampet,25000,2580
3874,1 BHK Residential Apartment for rent in kukatpally,8000,598
3875,3 BHK Residential Apartment for rent in Nallagandla,26500,1515
3876,1 BHK Residential Apartment for rent in shakthi nagar,8000,598
3877,"2 Bedroom Independent House for rent in Sai Township, Manneguda",8000,1000
3878,2 BHK Residential Apartment for rent in Vignanapuri Colony,15000,1068
3879,2 BHK Independent Builder Floor for rent in Banjara Hills,20000,1100
3880,3 Bedroom Independent House for rent in Chintal,14500,1800
3881,3 BHK Residential Apartment for rent in YousufGuda,27000,1500
3882,3 Bedroom Independent House for rent in Bakaram,32000,2754
3883,2 BHK Residential Apartment for rent in Madhapur,27000,1100
3884,1 BHK Residential Apartment for rent in Izzat Nagar,10000,450
3885,2 BHK Independent Builder Floor for rent in Gachibowli,16500,1600
3886,2 BHK Independent Builder Floor for rent in Vijaypuri Colony,8000,1200
3887,3 BHK Residential Apartment for rent in Annojiguda,15000,1895
3888,1 Bedroom Independent House for rent in Ciefl Colony,6500,700
3889,3 BHK Residential Apartment for rent in Kondapur,26000,2000
3890,2 Bedroom Independent House for rent in Gachibowli,20000,1503
3891,2 BHK Residential Apartment for rent in Nacharam,19000,1200
3892,2 BHK Residential Apartment for rent in Rajarajeshwari Nagar,16000,1000
3893,5 Bedroom Independent House for rent in Srisailam Highway,70000,3690
3894,2 Bedroom Independent House for rent in Nacharam Mandal,15500,1350
3895,2 Bedroom Independent House for rent in Ramanthapur,22000,1900
3896,2 Bedroom Independent House for rent in Nacharam,16000,1400
3897,"2 BHK Independent Builder Floor for rent in Allwyn Colony, kukatpally",12000,900
3898,2 Bedroom Independent House for rent in Rn Reddy Nagar,10000,1300
3899,2 Bedroom Independent House for rent in Rn Reddy Nagar,10000,1300
3900,1 BHK Independent Builder Floor for rent in Uppal,8100,900
3901,2 Bedroom Independent House for rent in Sainikpuri,25000,1100
3902,1 Bedroom Independent House for rent in Kantha Reddy Nagar,8000,900
3903,3 BHK Residential Apartment for rent in Shilpa Hills,45000,2295
3904,2 Bedroom Independent House for rent in Patelguda,11000,1150
3905,2 BHK Independent Builder Floor for rent in Bhavanipuram,9000,1200
3906,3 BHK Residential Apartment for rent in Sreebagh Colony,11000,2150
3907,3 BHK Residential Apartment for rent in Vittal Rao Nagar,70000,2595
3908,2 BHK Residential Apartment for rent in Lingampally,15000,1180
3909,1 Bedroom Independent House for rent in HMT Swarnapuri Colony Miyapur,8000,850
3910,2 BHK Residential Apartment for rent in Manikonda,15000,1100
3911,2 BHK Residential Apartment for rent in Chandanagar,12000,1200
3912,3 BHK Residential Apartment for rent in Nizampet,15000,1800
3913,2 Bedroom Independent House for rent in Bandlaguda,12000,1818
3914,3 BHK Residential Apartment for rent in Mayuri Nagar,22000,1770
3915,1 Bedroom Independent House for rent in Chintal,6000,900
3916,2 Bedroom Independent House for rent in Aminpur,10000,1503
3917,3 BHK Residential Apartment for rent in Beeramguda,15000,1530
3918,(1 RK) Studio Apartment for rent in Balkampet,11000,350
3919,2 BHK Independent Builder Floor for rent in Gachibowli,20000,1008
3920,2 BHK Independent Builder Floor for rent in Gachibowli,20000,1000
3921,8 BHK Independent Builder Floor for rent in Keesara,30000,4000
3922,1 BHK Independent Builder Floor for rent in NGO Colony,7000,750
3923,3 BHK Residential Apartment for rent in ATTAPUR,20000,1650
3924,3 BHK Independent Builder Floor for rent in Edi Bazaar,13000,1000
3925,3 BHK Independent Builder Floor for rent in Edi Bazaar,13000,1000
3926,3 BHK Independent Builder Floor for rent in Edi Bazaar,13000,1000
3927,2 BHK Residential Apartment for rent in Himayat Nagar,26000,1200
3928,2 BHK Independent Builder Floor for rent in Amberpet,9500,800
3929,2 BHK Independent Builder Floor for rent in Miyapur,12500,1100
3930,2 BHK Independent Builder Floor for rent in Shaikpet,20000,1100
3931,2 Bedroom Independent House for rent in Medipally,8500,2196
3932,2 Bedroom Independent House for rent in Medipally,8500,2160
3933,3 BHK Residential Apartment for rent in Manikonda,27000,1500
3934,3 Bedroom Independent House for rent in Pocharam,15000,13500
3935,3 Bedroom Independent House for rent in Pocharam,15000,1600
3936,2 BHK Residential Apartment for rent in Vinayak Nagar,15000,1240
3937,3 BHK Residential Apartment for rent in 5th Phase KPHB,23000,1100
3938,2 Bedroom Independent House for rent in New Maruthi Nagar,12000,800
3939,1 BHK Independent Builder Floor for rent in Kukatpally,8500,600
3940,1 BHK Independent Builder Floor for rent in Ramchandrapuram,6500,750
3941,2 BHK Residential Apartment for rent in Manikonda,14000,1115
3942,2 BHK Residential Apartment for rent in Nallagandla,13000,1200
3943,3 BHK Residential Apartment for rent in Manikonda,22000,1450
3944,3 BHK Residential Apartment for rent in Yellareddyguda,19000,1500
3945,1 BHK Independent Builder Floor for rent in Alkapuri,9000,440
3946,2 BHK Residential Apartment for rent in Bandlaguda,9000,800
3947,1 BHK Residential Apartment for rent in Masab Tank,8000,100
3948,2 BHK Independent Builder Floor for rent in Ahmed Nagar,9000,900
3949,3 BHK Residential Apartment for rent in Pocharam,15000,1360
3950,1 Bedroom Independent House for rent in Annojiguda,6000,747
3951,1 Bedroom Independent House for rent in Annojiguda,6000,747
3952,1 Bedroom Independent House for rent in Banjara hills,15000,600
3953,2 BHK Residential Apartment for rent in Narayanguda,15000,1000
3954,1 BHK Independent Builder Floor for rent in Nandi Nagar,13000,600
3955,1 BHK Independent Builder Floor for rent in Venkateswara Colony,15000,600
3956,1 BHK Independent Builder Floor for rent in YousufGuda,13000,700
3957,1 Bedroom Independent House for rent in RR Nagar,6000,700
3958,3 BHK Residential Apartment for rent in Venkataramana Colony,27000,1650
3959,5 Bedroom Independent House for rent in Petbasheerabad,30000,2001
3960,3 Bedroom Independent House for rent in Huda Colony,18000,1450
3961,2 BHK Residential Apartment for rent in SriramNagar,20000,1250
3962,3 Bedroom Independent House for rent in Nakshatra Gated Community,22000,1350
3963,2 BHK Residential Apartment for rent in Masjid Banda,22000,1230
3964,2 BHK Residential Apartment for rent in Kakatiya Hills,13000,1400
3965,1 Bedroom Independent House for rent in Balaji Nagar,8500,650
3966,2 BHK Residential Apartment for rent in Narsingi,18000,890
3967,2 BHK Residential Apartment for rent in KRCR road number 6,13000,1280
3968,3 BHK Residential Apartment for rent in Film Nagar,27000,2040
3969,4 Bedroom Independent House for rent in Kokapet,80000,3538
3970,2 Bedroom Independent House for rent in Sainathapuram,10000,130
3971,3 BHK Residential Apartment for rent in Muppas Panchavati Colony,22000,1600
3972,2 Bedroom Independent House for rent in Ciefl Colony,10000,1200
3973,2 Bedroom Independent House for rent in Lingampally,13500,1250
3974,3 BHK Residential Apartment for rent in Pocharam,18000,1450
3975,2 Bedroom Independent House for rent in kuntloor,9000,1350
3976,1 Bedroom Independent House for rent in Kanchan Bagh,5000,1980
3977,1 Bedroom Independent House for rent in Kanchan Bagh,5000,1980
3978,2 Bedroom Independent House for rent in Tolichowki,10500,1000
3979,2 BHK Residential Apartment for rent in 6th Phase KPHB,18000,1198
3980,2 BHK Independent Builder Floor for rent in 1st Phase KPHB,15000,750
3981,2 BHK Independent Builder Floor for rent in Saroor nagar,9000,900
3982,2 BHK Residential Apartment for rent in Jayanagar,11500,1100
3983,3 BHK Residential Apartment for rent in Sri Ram Nagar Colony,14000,1402
3984,1 BHK Independent Builder Floor for rent in P Janardhan Reddy Nagar,16000,700
3985,"2 BHK Residential Apartment for rent in Laxmi Nagar Colony, Attapur",18000,1284
3986,2 BHK Residential Apartment for rent in nizampet road,18000,1100
3987,3 BHK Residential Apartment for rent in Sri Sai Nagar,28000,1810
3988,2 BHK Residential Apartment for rent in Nizam Colony,11500,1110
3989,1 BHK Residential Apartment for rent in Jai Bharat Nagar,9000,600
3990,2 BHK Independent Builder Floor for rent in Machabolaram,6500,874
3991,1 BHK Residential Apartment for rent in Manikonda,20000,460
3992,3 BHK Residential Apartment for rent in Manikonda,16500,1300
3993,1 BHK Independent Builder Floor for rent in Machabolaram,6500,1800
3994,2 BHK Independent Builder Floor for rent in Chilkalguda,18000,1000
3995,2 Bedroom Independent House for rent in Boduppal,10000,1000
3996,2 BHK Independent Builder Floor for rent in Attapur,6000,700
3997,1 Bedroom Independent House for rent in Erragadda,7500,500
3998,2 BHK Residential Apartment for rent in TELLAPUR,16000,1200
3999,2 BHK Residential Apartment for rent in Gachibowli,22000,1085
4000,2 BHK Residential Apartment for rent in Raghavendra Colony,19500,1250
4001,3 BHK Residential Apartment for rent in Kondapur,27000,1875
4002,3 BHK Residential Apartment for rent in Kapra,16500,1195
4003,3 BHK Residential Apartment for rent in Kapra,16500,1195
4004,3 BHK Residential Apartment for rent in Kapra,15000,1195
4005,3 BHK Residential Apartment for rent in Madinaguda,40000,1685
4006,3 BHK Independent Builder Floor for rent in Gachibowli,18000,1500
4007,2 Bedroom Independent House for rent in Bandlaguda,12000,1500
4008,1 Bedroom Independent House for rent in Nallakunta,8000,425
4009,2 BHK Residential Apartment for rent in Lingampally,23000,1710
4010,2 BHK Residential Apartment for rent in Kismathpur,19000,1245
4011,(1 RK) Studio Apartment for rent in Bakaram,11000,500
4012,1 Bedroom Independent House for rent in Bhoiguda,14000,600
4013,3 BHK Residential Apartment for rent in Chandanagar,18000,1300
4014,2 BHK Independent Builder Floor for rent in BHEL,11000,800
4015,3 BHK Residential Apartment for rent in Jubilee Enclave,40000,2200
4016,2 BHK Residential Apartment for rent in Krushi defence colony,12000,1150
4017,2 BHK Residential Apartment for rent in Medipally,8000,1000
4018,2 BHK Independent Builder Floor for rent in Financial District,25000,1150
4019,1 Bedroom Independent House for rent in Huda Colony,8500,1000
4020,2 BHK Residential Apartment for rent in Sun City,9000,1000
4021,3 BHK Residential Apartment for rent in Bachupally,12000,1545
4022,3 BHK Residential Apartment for rent in OU Colony,17000,1170
4023,2 Bedroom Independent House for rent in OU Colony,13000,800
4024,1 Bedroom Independent House for rent in Lingampally,9000,750
4025,1 BHK Residential Apartment for rent in Serlingampally,13000,775
4026,1 Bedroom Independent House for rent in Tolichowki,14000,740
4027,2 BHK Independent Builder Floor for rent in Beeramguda,9000,800
4028,3 BHK Residential Apartment for rent in Mayuri Nagar,22000,1625
4029,3 BHK Residential Apartment for rent in Mayuri Nagar,22000,1625
4030,1 BHK Independent Builder Floor for rent in Attapur,6500,600
4031,1 Bedroom Independent House for rent in Just beside PJR stadium,11000,900
4032,3 BHK Residential Apartment for rent in Gachibowli,42000,2000
4033,1 Bedroom Independent House for rent in Papireddy Nagar,6500,400
4034,2 BHK Residential Apartment for rent in Kothapet,12000,1100
4035,3 BHK Residential Apartment for rent in Kondapur,45000,2550
4036,3 BHK Residential Apartment for rent in Nanakramguda,55000,2435
4037,3 BHK Residential Apartment for rent in Huda Layout,20000,1692
4038,3 BHK Residential Apartment for rent in 5th Phase KPHB,42000,2259
4039,3 BHK Residential Apartment for rent in 5th Phase KPHB,43000,2259
4040,2 Bedroom Independent House for rent in IAS Colony,12000,1200
4041,3 BHK Residential Apartment for rent in Allauddin Basthi,36000,2160
4042,2 Bedroom Independent House for rent in Medchal,7500,1000
4043,3 BHK Residential Apartment for rent in Kondapur,29950,1960
4044,"3 BHK Residential Apartment for rent in Gopanpally, Nallagandla, Gachibowli",30000,1464
4045,2 BHK Independent Builder Floor for rent in HMT Swarnapuri Colony,11000,1350
4046,1 BHK Independent Builder Floor for rent in Aditya Nagar,8500,500
4047,2 Bedroom Independent House for rent in Srinivasa puram,8000,700
4048,Residential property for rent in Kismathpur,11000,1000
4049,2 Bedroom Independent House for rent in Upperpally,10000,1080
4050,1 Bedroom Independent House for rent in Venkatramana Colony,3500,120
4051,3 BHK Residential Apartment for rent in Muppas Panchavati Colony,15000,1395
4052,2 BHK Residential Apartment for rent in Madinaguda,15000,1220
4053,2 Bedroom Independent House for rent in Bhudevinagar,11000,360
4054,3 BHK Residential Apartment for rent in Miraj Colony,14000,1100
4055,3 BHK Residential Apartment for rent in Miraj Colony,14000,1100
4056,3 BHK Residential Apartment for rent in Miraj Colony,14000,1100
4057,2 Bedroom Independent House for rent in Upperpally,10000,1300
4058,2 BHK Residential Apartment for rent in Sudarshan Nagar Colony,22500,1250
4059,2 BHK Residential Apartment for rent in IAS Colony,12500,1200
4060,2 BHK Residential Apartment for rent in Gudimalkapur,14500,1100
4061,2 BHK Residential Apartment for rent in Nizampet Road,27000,1280
4062,3 BHK Residential Apartment for rent in Madinaguda,16500,1555
4063,1 BHK Independent Builder Floor for rent in Gachibowli,11000,1080
4064,2 BHK Residential Apartment for rent in IAS Colony,16000,1200
4065,2 BHK Residential Apartment for rent in Hafeezpet,18000,1290
4066,2 BHK Residential Apartment for rent in Dilsukh Nagar,12000,1000
4067,3 BHK Residential Apartment for rent in Kothaguda,25000,1600
4068,2 BHK Residential Apartment for rent in Miyapur,12000,1100
4069,1 BHK Independent Builder Floor for rent in Gajulramaram,6500,750
4070,2 BHK Residential Apartment for rent in Serlingampally,18000,1200
4071,1 BHK Residential Apartment for rent in King koti,8000,500
4072,2 BHK Independent Builder Floor for rent in Bhoiguda,14000,1000
4073,3 BHK Residential Apartment for rent in Kothaguda,27000,1512
4074,1 BHK Residential Apartment for rent in Gaddi Annaram,8000,700
4075,2 BHK Residential Apartment for rent in Masjid Banda,25000,1340
4076,3 Bedroom Independent House for rent in Ravi Colony,17500,4000
4077,2 BHK Residential Apartment for rent in Pragathi Nagar,15000,1150
